codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0213969AR,430894.731,4585816.822,41.4209379,2.1730315,Styphnolobium japonicum,28.5076476,2,Cool
0213980AR,431347.797,4585165.174,41.4151075,2.1785266,Styphnolobium japonicum,28.6917707,2,Cool
0213994AR,431235.706,4585498.7,41.4181019,2.1771476,Styphnolobium japonicum,28.57400675,2,Cool
0213999AR,430895.436,4585803.976,41.4208222,2.1730414,Styphnolobium japonicum,28.52578282,2,Cool
0214004AR,431165.508,4586078.553,41.4233184,2.1762417,Styphnolobium japonicum,28.6811251,2,Cool
0214021AR,430897.64,4585774.275,41.4205549,2.1730711,Styphnolobium japonicum,28.55404398,2,Cool
0214047AR,430836.67,4585442.375,41.4175604,2.1723795,Styphnolobium japonicum,29.63873308,3,Warm
0214059AR,431073.451,4585333.422,41.4165994,2.175225,Styphnolobium japonicum,29.39235576,3,Warm
0214062AR,430698.838,4585421.915,41.4173642,2.1707327,Styphnolobium japonicum,29.13086159,3,Warm
0214070AR,431293.896,4585221.462,41.4156099,2.1778753,Styphnolobium japonicum,28.7868844,2,Cool
0214078AR,431417.62,4585257.788,41.4159476,2.1793515,Styphnolobium japonicum,28.77244109,2,Cool
0214083AR,431196.847,4585740.478,41.4202762,2.1766551,Styphnolobium japonicum,28.76654769,2,Cool
0214086AR,430893.313,4585834.266,41.4210948,2.1730125,Styphnolobium japonicum,28.47252438,2,Cool
0214107AR,430878.85,4585122.525,41.4146832,2.1729208,Styphnolobium japonicum,31.23141009,4,Hottest
0214111AR,430830.637,4585445.487,41.4175879,2.172307,Styphnolobium japonicum,29.55425665,3,Warm
0214118AR,431208.76100000006,4585310.859,41.4164078,2.1768466,Styphnolobium japonicum,28.91456981,3,Warm
0214124AR,431183.706,4585404.189,41.4172462,2.1765362,Styphnolobium japonicum,28.85826268,2,Cool
0214129AR,431053.391,4585342.829,41.4166824,2.1749839,Styphnolobium japonicum,29.59359709,3,Warm
0214134AR,430884.444,4585854.184,41.4212735,2.1729041,Styphnolobium japonicum,28.4260723,2,Cool
0214139AR,430674.683,4585423.762,41.4173788,2.1704435,Styphnolobium japonicum,29.06499984,3,Warm
0214177AR,430883.73,4585866.396,41.4213834,2.1728942,Styphnolobium japonicum,28.40720995,2,Cool
0214194AR,430690.971,4585055.004,41.4140589,2.1706806,Styphnolobium japonicum,29.65154973,3,Warm
0214203AR,430877.764,4585413.248,41.4173016,2.1728746,Styphnolobium japonicum,30.38054073,4,Hottest
0214206AR,431362.815,4585138.411,41.4148678,2.1787093,Styphnolobium japonicum,28.66948511,2,Cool
0214225AR,431364.299,4585245.152,41.4158293,2.178715,Styphnolobium japonicum,28.6831821,2,Cool
0214233AR,431125.234,4585381.768,41.4170393,2.1758391,Styphnolobium japonicum,29.01281659,3,Warm
0214249AR,430897.13,4585779.922,41.4206057,2.1730644,Styphnolobium japonicum,28.55376978,2,Cool
0214261AR,431108.174,4585249.496,41.4158465,2.17565,Styphnolobium japonicum,29.28430818,3,Warm
