codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0239376AR,434271.497,4585497.712,41.4183471,2.2134714,Celtis australis,29.25490154,3,Warm
0239382AR,434124.063,4584798.589,41.4120382,2.2117835,Celtis australis,30.28636753,4,Hottest
0239384AR,434357.187,4585255.768,41.4161749,2.214523,Celtis australis,28.09275776,2,Cool
0239393AR,434487.105,4584939.716,41.4133389,2.2161117,Celtis australis,27.74174264,1,Coolest
0239414AR,434299.057,4585296.128,41.4165337,2.2138231,Celtis australis,27.69028306,1,Coolest
0239415AR,434126.46,4585699.16,41.4201496,2.2117141,Celtis australis,29.56759854,3,Warm
0239429AR,434271.597,4585335.519,41.4168862,2.2134903,Celtis australis,27.6063949,1,Coolest
0239430AR,434214.331,4585647.236,41.4196891,2.2127712,Celtis australis,30.00143029,3,Warm
0239448AR,434204.454,4584856.648,41.4125677,2.212739,Celtis australis,31.43436635,4,Hottest
0239449AR,434521.728,4585307.617,41.4166554,2.2164861,Celtis australis,29.42575175,3,Warm
0239455AR,434230.859,4585589.659,41.4191719,2.2129752,Celtis australis,29.87946451,3,Warm
0239457AR,434337.30499999993,4584986.087,41.4137444,2.2143144,Celtis australis,28.85202393,2,Cool
0239478AR,434075.674,4585735.817,41.4204756,2.2111024,Celtis australis,28.41955484,2,Cool
0239500AR,434262.208,4585399.129,41.4174584,2.213371,Celtis australis,27.98697878,2,Cool
0239524AR,434222.269,4585586.249,41.4191405,2.2128728,Celtis australis,29.88218427,3,Warm
0239549AR,434081.894,4584915.449,41.4130872,2.2112663,Celtis australis,30.57557693,4,Hottest
0239567AR,434009.876,4585270.37,41.416278,2.2103659,Celtis australis,29.76974878,3,Warm
0239570AR,434405.377,4585253.097,41.4161548,2.2150999,Celtis australis,28.6828556,2,Cool
0239574AR,434564.398,4585369.896,41.4172198,2.2169899,Celtis australis,29.19420666,3,Warm
0239576AR,434362.475,4585011.047,41.4139712,2.2146128,Celtis australis,28.27643457,2,Cool
0239595AR,434733.528,4585055.944,41.4144058,2.2190474,Celtis australis,28.58574128,2,Cool
0239597AR,433910.826,4585290.171,41.4164482,2.2091786,Celtis australis,30.35775163,4,Hottest
0239606AR,434105.805,4585509.818,41.4184425,2.2114876,Celtis australis,28.61054658,2,Cool
0239612AR,434107.919,4585517.04,41.4185077,2.2115121,Celtis australis,28.71432869,2,Cool
0239616AR,434349.04999999993,4585391.379,41.4173957,2.2144109,Celtis australis,28.80757039,2,Cool
0241462AR,428093.512,4579343.706,41.3623912,2.1402819,Celtis australis,29.44737127,3,Warm
0241485AR,428311.49,4578947.054,41.3588382,2.1429346,Celtis australis,28.39202351,2,Cool
0241523AR,428190.731,4579189.035,41.3610068,2.1414624,Celtis australis,30.13506185,3,Warm
0241546AR,427498.279,4579033.08,41.3595402,2.1332032,Celtis australis,29.51589228,3,Warm
0241563AR,428086.122,4579356.216,41.3625032,2.1401921,Celtis australis,29.35347614,3,Warm
0241591AR,428537.076,4579072.712,41.35999,2.1456165,Celtis australis,28.71670803,2,Cool
0241611AR,428217.181,4579162.315,41.3607685,2.1417818,Celtis australis,30.17028273,3,Warm
0241701AR,428232.771,4579150.965,41.3606677,2.1419695,Celtis australis,30.13911734,3,Warm
0241751AR,428270.5,4578996.084,41.3592761,2.1424389,Celtis australis,28.7410827,2,Cool
0241766AR,428592.762,4579109.513,41.3603264,2.1462779,Celtis australis,28.24987683,2,Cool
0241777AR,427519.60900000005,4579024.63,41.359466,2.1334592,Celtis australis,29.92505856,3,Warm
0241789AR,428222.531,4579158.505,41.3607347,2.1418462,Celtis australis,30.16079481,3,Warm
0241793AR,428227.391,4579154.515,41.3606992,2.1419048,Celtis australis,30.15318453,3,Warm
0241867AR,428089.602,4579350.406,41.3624512,2.1402344,Celtis australis,29.4254422,3,Warm
0241886AR,427496.349,4579048.41,41.3596781,2.1331783,Celtis australis,29.41803267,3,Warm
0241932AR,427513.319,4579016.65,41.3593935,2.1333849,Celtis australis,29.86375816,3,Warm
0241951AR,428491.904,4579027.454,41.3595783,2.1450819,Celtis australis,28.96461894,3,Warm
0241952AR,427502.759,4579047.29,41.3596685,2.133255,Celtis australis,29.54162844,3,Warm
0241985AR,428502.714,4579039.452,41.3596874,2.1452097,Celtis australis,28.90784017,3,Warm
0242003AR,427489.259,4579000.66,41.3592473,2.1330992,Celtis australis,29.62318238,3,Warm
0242060AR,428248.751,4579140.505,41.3605749,2.1421618,Celtis australis,30.11419776,3,Warm
0242122AR,428320.36,4578933.834,41.3587199,2.1430422,Celtis australis,28.34364747,2,Cool
0242131AR,428064.503,4579395.096,41.3628515,2.139929,Celtis australis,29.08634237,3,Warm
0242157AR,427513.459,4579025.95,41.3594773,2.1333855,Celtis australis,29.82837927,3,Warm
0242183AR,427500.809,4579028.1,41.3594955,2.133234,Celtis australis,29.56252671,3,Warm
0242184AR,428549.273,4579083.197,41.3600855,2.1457611,Celtis australis,28.59814878,2,Cool
0242214AR,428073.223,4579378.566,41.3627034,2.1400352,Celtis australis,29.19347146,3,Warm
0242220AR,428114.852,4579308.806,41.3620788,2.1405412,Celtis australis,29.68268577,3,Warm
0242307AR,427492.259,4579044.69,41.3596442,2.1331298,Celtis australis,29.40773872,3,Warm
0242359AR,427516.759,4579030.25,41.3595163,2.1334244,Celtis australis,29.85011344,3,Warm
0242399AR,428171.442,4579216.245,41.3612502,2.1412286,Celtis australis,30.04422304,3,Warm
0242411AR,428254.291,4579137.615,41.3605494,2.1422284,Celtis australis,30.11780162,3,Warm
0242419AR,428283.45,4578981.024,41.3591416,2.1425954,Celtis australis,28.59869172,2,Cool
0242448AR,428555.313,4579088.547,41.3601342,2.1458327,Celtis australis,28.5382412,2,Cool
0242453AR,428076.423,4579372.646,41.3626504,2.1400742,Celtis australis,29.24446863,3,Warm
0242517AR,428135.942,4579274.316,41.36177,2.1407974,Celtis australis,29.85970709,3,Warm
0242555AR,427479.1890000001,4578996.61,41.35921,2.1329793,Celtis australis,29.5839262,3,Warm
0242557AR,427508.669,4579045.96,41.3596571,2.1333258,Celtis australis,29.64698756,3,Warm
0242558AR,428279.08,4578986.364,41.3591893,2.1425426,Celtis australis,28.65381633,2,Cool
0242559AR,428524.717,4579062.381,41.3598958,2.14547,Celtis australis,28.79607867,2,Cool
0242564AR,428328.5300000001,4578921.064,41.3586056,2.1431414,Celtis australis,28.32367879,2,Cool
0242613AR,427516.299,4579020.94,41.3594324,2.13342,Celtis australis,29.87897325,3,Warm
0242616AR,427507.769,4579027.31,41.359489,2.1333173,Celtis australis,29.69927078,3,Warm
0242640AR,428315.92,4578940.444,41.358779,2.1429884,Celtis australis,28.37300576,2,Cool
0242707AR,428097.362,4579337.976,41.36234,2.1403286,Celtis australis,29.49830772,3,Warm
0242717AR,427505.589,4579006.01,41.359297,2.1332938,Celtis australis,29.84496618,3,Warm
0242802AR,428070.043,4579384.306,41.3627548,2.1399965,Celtis australis,29.1543301,3,Warm
0242827AR,428079.683,4579366.876,41.3625987,2.1401138,Celtis australis,29.28227212,3,Warm
0242894AR,428301.6,4578959.604,41.3589503,2.1428149,Celtis australis,28.44362006,2,Cool
0242896AR,427522.089,4579010.11,41.3593354,2.1334905,Celtis australis,30.01128006,3,Warm
0242899AR,427505.259,4579042.05,41.3596216,2.1332855,Celtis australis,29.5633892,3,Warm
0242911AR,428296.66,4578965.334,41.3590015,2.1427552,Celtis australis,28.48473175,2,Cool
0242930AR,428174.891,4579211.075,41.3612039,2.1412705,Celtis australis,30.06893684,3,Warm
0242956AR,427522.449,4579019.18,41.3594171,2.1334938,Celtis australis,29.96341738,3,Warm
0242965AR,428473.273,4579004.966,41.3593741,2.1448618,Celtis australis,28.98510781,3,Warm
0243018AR,428104.372,4579326.466,41.3622369,2.1404138,Celtis australis,29.57886176,3,Warm
0243071AR,428139.382,4579268.566,41.3617186,2.1408392,Celtis australis,29.8929278,3,Warm
