codi,x_etrs89,y_etrs89,latitud,longitud,cat_nom_ci,Mean_LST,LST_zone,LST_zone_label
0088468AR,428362.59,4582057.562,41.386858,2.143178,Platanus × acerifolia,28.74378883,3,Warm
0088471AR,428672.252,4581725.356,41.3838934,2.1469204,Platanus × acerifolia,29.00859947,3,Warm
0088474AR,428660.47,4581388.052,41.3808544,2.1468192,Platanus × acerifolia,28.66078855,3,Warm
0088476AR,428446.718,4581683.072,41.3834925,2.1442283,Platanus × acerifolia,29.19155731,3,Warm
0088480AR,429421.869,4581324.749,41.3803514,2.1559315,Platanus × acerifolia,28.6143476,3,Warm
0088481AR,428429.828,4582230.379,41.3884204,2.1439616,Platanus × acerifolia,28.94022488,3,Warm
0088482AR,428359.524,4582112.128,41.3873491,2.1431348,Platanus × acerifolia,28.82650305,3,Warm
0088486AR,428363.904,4582141.928,41.3876179,2.1431837,Platanus × acerifolia,28.77684677,3,Warm
0088488AR,428392.132,4582290.937,41.3889625,2.1435037,Platanus × acerifolia,28.83206788,3,Warm
0088489AR,428756.417,4581239.384,41.3795239,2.147984,Platanus × acerifolia,29.0673869,3,Warm
0088493AR,428817.0,4581656.0,41.3832816,2.1486595,Platanus × acerifolia,28.54108168,3,Warm
0088497AR,428517.679,4581461.676,41.3815048,2.145103,Platanus × acerifolia,28.85631103,3,Warm
0088501AR,428642.488,4581389.101,41.3808622,2.1466041,Platanus × acerifolia,28.62018918,3,Warm
0088504AR,428897.939,4581701.622,41.3836996,2.1496221,Platanus × acerifolia,27.96868002,2,Cool
0088510AR,429114.642,4581948.124,41.3859389,2.1521848,Platanus × acerifolia,29.16182341,3,Warm
0088511AR,429049.039,4581371.982,41.380744,2.1514677,Platanus × acerifolia,29.13024181,3,Warm
0088516AR,428606.022,4581804.389,41.3845994,2.1461191,Platanus × acerifolia,28.94233648,3,Warm
0088522AR,428658.487,4581492.155,41.3817918,2.1467832,Platanus × acerifolia,28.78933046,3,Warm
0088523AR,428445.516,4582370.368,41.3896827,2.1441327,Platanus × acerifolia,29.06498622,3,Warm
0088532AR,429025.179,4581315.342,41.3802318,2.151189,Platanus × acerifolia,28.97404342,3,Warm
0088535AR,429489.1979999999,4581380.419,41.3808587,2.1567302,Platanus × acerifolia,28.55044888,3,Warm
0088536AR,429057.0,4581139.0,41.3786463,2.1515901,Platanus × acerifolia,28.75810151,3,Warm
0088541AR,428567.011,4581993.53,41.3862994,2.1456302,Platanus × acerifolia,29.10526679,3,Warm
0088544AR,428492.259,4581447.976,41.3813792,2.1448006,Platanus × acerifolia,28.76441626,3,Warm
0088545AR,428337.265,4581926.685,41.3856769,2.1428906,Platanus × acerifolia,28.63992462,3,Warm
0088551AR,428762.346,4582353.561,41.3895594,2.1479239,Platanus × acerifolia,30.07473615,4,Hottest
0088557AR,428324.864,4581722.198,41.3838341,2.1427664,Platanus × acerifolia,28.98760022,3,Warm
0088558AR,429580.371,4581470.128,41.3816747,2.15781,Platanus × acerifolia,28.44637785,2,Cool
0088563AR,428783.125,4581992.798,41.386312,2.1482149,Platanus × acerifolia,29.95216164,3,Warm
0088569AR,428891.943,4580999.221,41.3773728,2.1496328,Platanus × acerifolia,28.39466901,2,Cool
0088572AR,428484.593,4582140.657,41.3876172,2.1446272,Platanus × acerifolia,29.09149928,3,Warm
0088578AR,429117.965,4581016.717,41.3775503,2.1523334,Platanus × acerifolia,28.67158927,3,Warm
0088580AR,429011.498,4582155.305,41.3877958,2.150927,Platanus × acerifolia,29.26563238,3,Warm
0088586AR,429478.499,4581370.005,41.380764,2.1566035,Platanus × acerifolia,28.57026499,3,Warm
0088587AR,429595.297,4581558.962,41.3824761,2.1579782,Platanus × acerifolia,28.602792,3,Warm
0088588AR,429073.654,4580983.937,41.3772512,2.1518074,Platanus × acerifolia,28.77455364,3,Warm
0088592AR,429130.469,4581758.878,41.3842358,2.1523962,Platanus × acerifolia,28.78902996,3,Warm
0088594AR,429242.759,4581325.58,41.3803431,2.1537896,Platanus × acerifolia,29.04763585,3,Warm
0088596AR,428387.436,4582266.359,41.3887407,2.1434504,Platanus × acerifolia,28.79010473,3,Warm
0088600AR,429467.915,4581359.544,41.3806688,2.1564781,Platanus × acerifolia,28.62760332,3,Warm
0088609AR,428904.784,4581121.389,41.3784743,2.149772,Platanus × acerifolia,28.52164396,3,Warm
0088611AR,429177.22200000007,4581785.232,41.3844773,2.1529522,Platanus × acerifolia,28.78398856,3,Warm
0088614AR,429045.495,4580956.358,41.3770003,2.1514739,Platanus × acerifolia,28.81619744,3,Warm
0088616AR,428681.154,4582087.546,41.3871563,2.1469842,Platanus × acerifolia,30.26636295,4,Hottest
0088623AR,428355.035,4581593.199,41.3826749,2.1431425,Platanus × acerifolia,29.11743601,3,Warm
0088624AR,429288.361,4581558.579,41.3824457,2.1543077,Platanus × acerifolia,28.82262831,3,Warm
0088627AR,428723.711,4582315.245,41.3892109,2.1474664,Platanus × acerifolia,30.29921601,4,Hottest
0088631AR,428647.00000000006,4581535.0,41.3821767,2.1466408,Platanus × acerifolia,28.80941517,3,Warm
0088635AR,429169.612,4581273.072,41.3798638,2.1529211,Platanus × acerifolia,29.00159528,3,Warm
0088636AR,428451.9799999999,4582236.352,41.3884762,2.1442259,Platanus × acerifolia,29.00729503,3,Warm
0088637AR,429367.1230000001,4581271.151,41.3798639,2.1552831,Platanus × acerifolia,28.54771497,3,Warm
0088643AR,428766.433,4581614.04,41.3828992,2.1480598,Platanus × acerifolia,28.70382877,3,Warm
0088644AR,429296.419,4581486.512,41.3817973,2.1544125,Platanus × acerifolia,28.52956174,3,Warm
0088651AR,428960.367,4580873.262,41.3762444,2.1504658,Platanus × acerifolia,28.60832852,3,Warm
0088657AR,428634.0,4582351.0,41.389525,2.1463892,Platanus × acerifolia,29.73344367,3,Warm
0088660AR,428851.421,4581956.881,41.3859945,2.1490358,Platanus × acerifolia,29.50064085,3,Warm
0088662AR,428938.5470000001,4582167.676,41.3879008,2.1500531,Platanus × acerifolia,29.46868791,3,Warm
0088668AR,429527.753,4581418.07,41.3812012,2.1571869,Platanus × acerifolia,28.48281801,2,Cool
0088669AR,428791.235,4581567.594,41.382483,2.1483618,Platanus × acerifolia,28.52781126,3,Warm
0088672AR,428947.474,4581651.005,41.3832481,2.1502204,Platanus × acerifolia,28.09952266,2,Cool
0088673AR,428884.167,4582285.064,41.3889533,2.1493889,Platanus × acerifolia,29.54457644,3,Warm
0088677AR,428561.254,4582343.092,41.3894473,2.1455202,Platanus × acerifolia,29.30836317,3,Warm
0088681AR,429285.876,4581497.746,41.3818976,2.1542851,Platanus × acerifolia,28.56559936,3,Warm
0088682AR,429037.97,4581125.877,41.3785264,2.1513641,Platanus × acerifolia,28.76156776,3,Warm
0088690AR,428510.899,4582129.821,41.387522,2.1449431,Platanus × acerifolia,29.11072055,3,Warm
0088692AR,429170.13,4581068.227,41.3780189,2.1529512,Platanus × acerifolia,28.35498302,2,Cool
0088693AR,429096.067,4581005.296,41.3774455,2.1520729,Platanus × acerifolia,28.65840877,3,Warm
0088696AR,429237.221,4581694.931,41.3836693,2.1536803,Platanus × acerifolia,29.21619504,3,Warm
0088699AR,428675.605,4581892.371,41.3853979,2.1469408,Platanus × acerifolia,29.06427112,3,Warm
0088702AR,428322.5300000001,4581677.288,41.3834294,2.1427439,Platanus × acerifolia,29.05923541,3,Warm
0088703AR,428570.058,4582164.732,41.3878416,2.1456465,Platanus × acerifolia,29.33208674,3,Warm
0088708AR,428578.0,4582025.0,41.3865838,2.1457579,Platanus × acerifolia,29.15383392,3,Warm
0088709AR,428926.214,4581032.819,41.3776784,2.1500387,Platanus × acerifolia,28.43080396,2,Cool
0088714AR,428610.366,4581072.775,41.3780104,2.1462572,Platanus × acerifolia,29.65865057,3,Warm
0088717AR,428690.41,4581510.166,41.3819569,2.1471629,Platanus × acerifolia,28.71899661,3,Warm
0088723AR,428581.229,4582207.498,41.3882278,2.145775,Platanus × acerifolia,29.41662974,3,Warm
0088728AR,428757.487,4581288.276,41.3799643,2.1479911,Platanus × acerifolia,29.02445004,3,Warm
0088737AR,429210.987,4581951.545,41.3859782,2.1533366,Platanus × acerifolia,28.85302805,3,Warm
0088741AR,428864.001,4582094.671,41.3872367,2.1491701,Platanus × acerifolia,30.29382333,4,Hottest
0088742AR,428770.0,4581631.0,41.3830522,2.1481004,Platanus × acerifolia,28.723491,3,Warm
0088746AR,428596.546,4582183.442,41.3880125,2.1459611,Platanus × acerifolia,29.51396976,3,Warm
0088747AR,429112.361,4581797.399,41.3845812,2.1521751,Platanus × acerifolia,28.82423318,3,Warm
0088749AR,428877.186,4580985.183,41.3772451,2.149458,Platanus × acerifolia,28.41123333,2,Cool
0088751AR,429032.705,4581182.43,41.3790353,2.1512945,Platanus × acerifolia,28.70162008,3,Warm
0088753AR,428995.771,4581792.816,41.3845296,2.1507814,Platanus × acerifolia,27.97965923,2,Cool
0088757AR,428324.501,4581714.342,41.3837633,2.142763,Platanus × acerifolia,29.00997417,3,Warm
0088762AR,429282.93,4581178.804,41.3790247,2.1542871,Platanus × acerifolia,28.41885499,2,Cool
0088763AR,429041.0,4581189.0,41.3790952,2.151393,Platanus × acerifolia,28.72580639,3,Warm
0088766AR,429611.723,4581542.173,41.3823263,2.1581766,Platanus × acerifolia,28.54447027,3,Warm
0088768AR,428942.865,4580856.028,41.3760876,2.1502585,Platanus × acerifolia,28.80257992,3,Warm
0088771AR,428798.773,4581655.004,41.383271,2.1484417,Platanus × acerifolia,28.61720053,3,Warm
0088773AR,428547.466,4582158.751,41.3877858,2.145377,Platanus × acerifolia,29.22221119,3,Warm
0088774AR,429145.939,4581767.671,41.3843164,2.1525801,Platanus × acerifolia,28.78744092,3,Warm
0088775AR,429069.93000000005,4581774.182,41.3843683,2.1516704,Platanus × acerifolia,28.58845284,3,Warm
0088776AR,428383.00000000006,4581621.0,41.3829278,2.1434736,Platanus × acerifolia,29.17029567,3,Warm
0088777AR,429521.92,4581412.461,41.3811502,2.1571178,Platanus × acerifolia,28.4858103,2,Cool
0088779AR,428933.502,4582162.61,41.3878547,2.1499933,Platanus × acerifolia,29.5122922,3,Warm
0088780AR,428912.366,4581321.263,41.3802751,2.1498393,Platanus × acerifolia,29.04001189,3,Warm
0088782AR,428619.492,4582366.841,41.3896663,2.1462139,Platanus × acerifolia,29.63141371,3,Warm
0088784AR,429081.568,4581705.467,41.3837505,2.1518176,Platanus × acerifolia,28.53942174,3,Warm
0088792AR,428950.113,4581599.685,41.3827861,2.150258,Platanus × acerifolia,28.41596802,2,Cool
0088793AR,429257.243,4581830.781,41.3848946,2.1539038,Platanus × acerifolia,28.69315278,3,Warm
0088796AR,429109.784,4581885.065,41.3853705,2.152134,Platanus × acerifolia,29.07851845,3,Warm
0088801AR,428358.434,4582104.678,41.3872819,2.1431227,Platanus × acerifolia,28.83823426,3,Warm
0088806AR,428533.624,4582280.602,41.388882,2.1451971,Platanus × acerifolia,29.17589447,3,Warm
0088812AR,428667.824,4581363.252,41.3806317,2.1469101,Platanus × acerifolia,28.73528525,3,Warm
0088818AR,428740.608,4582051.975,41.3868412,2.1476994,Platanus × acerifolia,30.54783081,4,Hottest
0088820AR,428766.693,4581835.694,41.3848955,2.1480368,Platanus × acerifolia,28.97813112,3,Warm
0088824AR,428541.487,4582255.976,41.3886609,2.145294,Platanus × acerifolia,29.19117473,3,Warm
0088831AR,428920.90100000007,4581027.845,41.3776332,2.1499757,Platanus × acerifolia,28.42282658,2,Cool
0088832AR,429273.0,4581840.0,41.384979,2.1540912,Platanus × acerifolia,28.67689747,3,Warm
0088835AR,429462.516,4581364.667,41.3807145,2.1564129,Platanus × acerifolia,28.63088682,3,Warm
0088836AR,428660.019,4581770.47,41.3842986,2.1467688,Platanus × acerifolia,28.93725153,3,Warm
0088837AR,429089.685,4581713.949,41.3838276,2.1519137,Platanus × acerifolia,28.61303545,3,Warm
0088839AR,428818.391,4581674.414,41.3834475,2.148674,Platanus × acerifolia,28.60425585,3,Warm
0088842AR,428329.54,4581797.122,41.3845093,2.1428135,Platanus × acerifolia,28.7689288,3,Warm
0088846AR,429004.722,4581783.312,41.3844448,2.1508895,Platanus × acerifolia,27.98354735,2,Cool
0088847AR,428856.636,4581188.086,41.3790707,2.1491885,Platanus × acerifolia,28.68348581,3,Warm
0088848AR,429089.438,4580999.133,41.3773895,2.1519944,Platanus × acerifolia,28.70164992,3,Warm
0088850AR,429558.061,4581448.249,41.3814757,2.1575458,Platanus × acerifolia,28.48110351,2,Cool
0088852AR,429047.586,4580991.992,41.3773214,2.1514948,Platanus × acerifolia,28.76759851,3,Warm
0088853AR,428658.267,4581541.236,41.3822339,2.1467748,Platanus × acerifolia,28.82557837,3,Warm
0088860AR,428332.742,4581848.868,41.3849757,2.1428457,Platanus × acerifolia,28.68212941,3,Warm
0088865AR,428902.413,4581678.678,41.3834934,2.1496783,Platanus × acerifolia,28.04378247,2,Cool
0088871AR,428634.639,4581851.931,41.3850301,2.1464557,Platanus × acerifolia,28.91016239,3,Warm
0088877AR,428580.89,4582191.607,41.3880847,2.1457729,Platanus × acerifolia,29.40681199,3,Warm
0088878AR,428317.78,4581601.618,41.3827474,2.142696,Platanus × acerifolia,29.06422354,3,Warm
0088880AR,429034.3009999999,4580934.867,41.3768058,2.1513426,Platanus × acerifolia,28.93294948,3,Warm
0088895AR,429039.5,4582126.422,41.3875381,2.1512652,Platanus × acerifolia,29.24614564,3,Warm
0088896AR,428808.732,4581577.449,41.3825734,2.1485699,Platanus × acerifolia,28.48038448,2,Cool
0088898AR,428677.026,4582301.627,41.3890841,2.1469096,Platanus × acerifolia,30.11225076,4,Hottest
0088907AR,428334.162,4581873.348,41.3851963,2.1428598,Platanus × acerifolia,28.65593898,3,Warm
0088909AR,429125.898,4581211.881,41.3793088,2.1524055,Platanus × acerifolia,28.66350205,3,Warm
0088912AR,429181.151,4581452.942,41.3814848,2.153038,Platanus × acerifolia,28.88285804,3,Warm
0088914AR,428537.6990000001,4582149.07,41.3876977,2.1452613,Platanus × acerifolia,29.1799686,3,Warm
0088915AR,429119.035,4581952.483,41.3859786,2.1522368,Platanus × acerifolia,29.15711582,3,Warm
0088917AR,428978.078,4581800.809,41.3846,2.1505688,Platanus × acerifolia,28.08738178,2,Cool
0088923AR,429192.264,4581089.716,41.3782144,2.1532134,Platanus × acerifolia,28.28674762,2,Cool
0088924AR,428527.361,4582302.055,41.3890747,2.1451197,Platanus × acerifolia,29.17894182,3,Warm
0088925AR,428944.032,4581593.977,41.3827342,2.1501859,Platanus × acerifolia,28.40624473,2,Cool
0088927AR,429063.62599999993,4581556.741,41.3824094,2.1516205,Platanus × acerifolia,28.98983271,3,Warm
0088932AR,429141.4,4581444.851,41.3814085,2.1525636,Platanus × acerifolia,28.98553845,3,Warm
0088935AR,429225.467,4581121.445,41.3785031,2.1536067,Platanus × acerifolia,28.28321867,2,Cool
0088939AR,429285.0829999999,4581741.919,41.3840967,2.1542472,Platanus × acerifolia,29.06645681,3,Warm
0088944AR,429589.801,4581564.596,41.3825263,2.1579118,Platanus × acerifolia,28.65885297,3,Warm
0088948AR,428973.578,4581273.522,41.3798506,2.1505768,Platanus × acerifolia,28.98874728,3,Warm
0088954AR,429205.61,4581957.294,41.3860295,2.1532716,Platanus × acerifolia,28.89500622,3,Warm
0088955AR,428531.887,4582265.738,41.388748,2.1451781,Platanus × acerifolia,29.16877908,3,Warm
0088958AR,428516.247,4581190.915,41.379066,2.1451178,Platanus × acerifolia,28.8933216,3,Warm
0088963AR,428416.796,4582413.188,41.3900658,2.1437842,Platanus × acerifolia,28.93886126,3,Warm
0088967AR,428329.898,4581804.83,41.3845788,2.1428169,Platanus × acerifolia,28.74949989,3,Warm
0088968AR,428560.083,4582253.79,41.3886429,2.1455167,Platanus × acerifolia,29.27932697,3,Warm
0088971AR,428507.179,4581455.566,41.3814489,2.1449782,Platanus × acerifolia,28.80557423,3,Warm
0088972AR,428885.382,4581707.244,41.3837491,2.1494713,Platanus × acerifolia,28.01275726,2,Cool
0088974AR,429393.772,4581594.458,41.3827781,2.1555641,Platanus × acerifolia,28.71598449,3,Warm
0088991AR,428978.201,4580880.137,41.3763079,2.1506782,Platanus × acerifolia,28.50907839,2,Cool
0088994AR,428480.974,4582127.554,41.3874989,2.1445855,Platanus × acerifolia,29.09272633,3,Warm
0088999AR,428909.096,4581016.173,41.377527,2.1498359,Platanus × acerifolia,28.41351491,2,Cool
0089000AR,428902.237,4581366.203,41.380679,2.1497129,Platanus × acerifolia,28.99607758,3,Warm
0089010AR,429123.00000000006,4581022.0,41.3775984,2.152393,Platanus × acerifolia,28.63866313,3,Warm
0089012AR,428870.98300000007,4581612.475,41.3828943,2.1493102,Platanus × acerifolia,28.3837758,2,Cool
0089015AR,428515.00000000006,4581900.0,41.3854524,2.1450193,Platanus × acerifolia,29.04099147,3,Warm
0089017AR,428644.717,4582341.757,41.3894427,2.1465185,Platanus × acerifolia,29.80215011,3,Warm
0089018AR,428584.929,4581499.906,41.3818551,2.1459027,Platanus × acerifolia,28.83040304,3,Warm
0089020AR,429346.621,4581459.721,41.3815604,2.155016,Platanus × acerifolia,28.49569211,2,Cool
0089022AR,429200.17,4581601.898,41.3828281,2.1532481,Platanus × acerifolia,29.28462152,3,Warm
0089024AR,428837.91,4581693.818,41.383624,2.1489052,Platanus × acerifolia,28.52489657,3,Warm
0089025AR,429022.707,4581874.473,41.3852674,2.1510939,Platanus × acerifolia,29.0541829,3,Warm
0089026AR,428551.331,4581690.233,41.3835663,2.1454785,Platanus × acerifolia,29.07145269,3,Warm
0089028AR,429122.297,4582041.78,41.3867831,2.1522653,Platanus × acerifolia,29.14662331,3,Warm
0089030AR,428893.799,4580959.254,41.377013,2.1496597,Platanus × acerifolia,28.57555121,3,Warm
0089033AR,428996.093,4581816.227,41.3847405,2.1507825,Platanus × acerifolia,28.20243855,2,Cool
